PeakID (cmd=annotatePeaks.pl 500_result/Hyper.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
10	chr1	120603501	120604000	+	0	NA	exon (NM_010133, exon 1 of 2)	exon (NM_010133, exon 1 of 2)	1263	NM_010133	13798	Mm.2657	NM_010133	ENSMUSG00000058665	En1	En-1|Mo-en.1|engrailed-1	engrailed 1	protein-coding
369	chr6	29397001	29397500	+	0	NA	intron (NM_001347072, intron 1 of 15)	intron (NM_001347072, intron 1 of 15)	666	NM_001347073	232664	Mm.251303	NM_145574	ENSMUSG00000029769	Ccdc136	4921511K06Rik|BC006583	coiled-coil domain containing 136	protein-coding
789	chr14	60300001	60300500	+	0	NA	intron (NM_144843, intron 13 of 13)	intron (NM_144843, intron 13 of 13)	35045	NM_144843	219135	Mm.247007	NM_144843	ENSMUSG00000021987	Mtmr6	4022440C11Rik|AI428804|AU041072	myotubularin related protein 6	protein-coding
279	chr5	136129501	136130000	+	0	NA	intron (NM_027891, intron 11 of 14)	RSINE1|SINE|B4	6324	NM_027891	71735	Mm.425292	NM_027891	ENSMUSG00000029703	Lrwd1	1200011O22Rik|AU042569|AW548074|Orca	leucine-rich repeats and WD repeat domain containing 1	protein-coding
69	chr1	63248001	63248500	+	0	NA	intron (NM_001285937, intron 2 of 5)	intron (NM_001285937, intron 2 of 5)	-25019	NM_001267872	73884	Mm.86986	NM_028673	ENSMUSG00000027520	Zdbf2	4930431J08Rik|9330107J05Rik	zinc finger, DBF-type containing 2	protein-coding
585	chr10	93032001	93032500	+	0	NA	intron (NM_001347060, intron 15 of 67)	intron (NM_001347060, intron 15 of 67)	49372	NM_001347060	380654	Mm.34980	NM_001347060	ENSMUSG00000020014	Cfap54	4930485B16Rik|Gm872	cilia and flagella associated protein 54	protein-coding
904	chr18	66022501	66023000	+	0	NA	Intergenic	Intergenic	-20115	NM_001172062	70361	Mm.290857	NM_027400	ENSMUSG00000041891	Lman1	2610020P13Rik|AI326273|AU043785|C730041J05|ERGIC53|F5F8D|MCFD1|MR60|P58|gp58	lectin, mannose-binding, 1	protein-coding
621	chr11	84958501	84959000	+	0	NA	intron (NM_007607, intron 1 of 7)	intron (NM_007607, intron 1 of 7)	996	NM_007607	12351	Mm.1641	NM_007607	ENSMUSG00000000805	Car4	AW456718|Ca4	carbonic anhydrase 4	protein-coding
743	chr13	99326001	99326500	+	0	NA	intron (NM_026873, intron 8 of 9)	(CA)n|Simple_repeat|Simple_repeat	18428	NM_026873	68927	Mm.276502	NM_026873	ENSMUSG00000021650	Ptcd2	1190005P08Rik	pentatricopeptide repeat domain 2	protein-coding
404	chr7	110626001	110626500	+	0	NA	Intergenic	Intergenic	-1407	NM_009627	11535	Mm.1408	NM_009627	ENSMUSG00000030790	Adm	AM	adrenomedullin	protein-coding
80	chr2	69152001	69152500	+	0	NA	intron (NM_181547, intron 2 of 15)	IMPB_01|Satellite|Satellite	16450	NM_181547	329416	Mm.90047	NM_181547	ENSMUSG00000034738	Nostrin	Daip2|mDaIP2	nitric oxide synthase trafficker	protein-coding
581	chr9	40772501	40773000	+	0	NA	intron (NM_133733, intron 4 of 6)	intron (NM_133733, intron 4 of 6)	-28526	NM_031165	15481	Mm.290774	NM_031165	ENSMUSG00000015656	Hspa8	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10	heat shock protein 8	protein-coding
597	chr10	90969501	90970000	+	0	NA	3' UTR (NM_001177397, exon 12 of 12)	3' UTR (NM_001177397, exon 12 of 12)	112993	NM_001282947	11783	Mm.220289	NM_009684	ENSMUSG00000019979	Apaf1	6230400I06Rik|Apaf-1|Apaf1l|fog|mKIAA0413	apoptotic peptidase activating factor 1	protein-coding
943	chr19	53051501	53052000	+	0	NA	Intergenic	Intergenic	-13096	NM_133216	170750	Mm.99776	NM_133216	ENSMUSG00000025027	Xpnpep1	D230045I08Rik|sAMP	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	protein-coding
149	chr2	133233501	133234000	+	0	NA	Intergenic	(CAG)n|Simple_repeat|Simple_repeat	-287714	NM_198029	241639	Mm.209784	NM_198029	ENSMUSG00000027356	Fermt1	5830467P10Rik|Kindlin-1	fermitin family member 1	protein-coding
582	chr10	95264501	95265000	+	0	NA	intron (NM_001330175, intron 2 of 2)	intron (NM_001330175, intron 2 of 2)	58959	NM_001330138	12905	Mm.473739	NM_009950	ENSMUSG00000045867	Cradd	RAIDD	CASP2 and RIPK1 domain containing adaptor with death domain	protein-coding
883	chr17	3079501	3080000	+	0	NA	intron (NR_003519, intron 2 of 7)	intron (NR_003519, intron 2 of 7)	4433	NR_003519	328734	Mm.335641	NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
622	chr11	85829001	85829500	+	0	NA	intron (NR_077059, intron 1 of 4)	intron (NR_077059, intron 1 of 4)	3138	NR_077059	69909	Mm.440214	NR_077059	ENSMUSG00000087013	2610027K06Rik	-	RIKEN cDNA 2610027K06 gene	ncRNA
489	chr8	118576001	118576500	+	0	NA	intron (NM_019707, intron 2 of 13)	intron (NM_019707, intron 2 of 13)	292639	NM_019707	12554	Mm.334841	NM_019707	ENSMUSG00000031841	Cdh13	4932416G01Rik|Cdht|Tcad	cadherin 13	protein-coding
41	chr1	163315001	163315500	+	0	NA	Intergenic	Intergenic	-1600	NM_175686	18933	Mm.288642	NM_011127	ENSMUSG00000026586	Prrx1	A230024N07Rik|AA755424|AI385634|AI843499|K-2|Pmx|Pmx1|Prx1|mHox	paired related homeobox 1	protein-coding
814	chr15	103019001	103019500	+	0	NA	Intergenic	Intergenic	4340	NR_030526	751557		NR_030526	ENSMUSG00000076010	Mir615	Mir|Mirn615|mir-615|mmu-mir-615	microRNA 615	ncRNA
422	chr7	34675501	34676000	+	0	NA	exon (NM_175140, exon 4 of 4)	exon (NM_175140, exon 4 of 4)	-20241	NM_001360818	233107	Mm.76761	NM_146188	ENSMUSG00000030499	Kctd15	BC031749	potassium channel tetramerisation domain containing 15	protein-coding
689	chr11	49793001	49793500	+	0	NA	promoter-TSS (NM_013529)	promoter-TSS (NM_013529)	-905	NM_013529	14584	Mm.24402	NM_013529	ENSMUSG00000020363	Gfpt2	AI480523|GFAT2	glutamine fructose-6-phosphate transaminase 2	protein-coding
837	chr15	31297001	31297500	+	0	NA	exon (NM_001164441, exon 4 of 4)	exon (NM_001164441, exon 4 of 4)	70509	NM_026153	67434	Mm.102470	NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding
725	chr12	108565001	108565500	+	0	NA	intron (NM_007965, intron 1 of 12)	intron (NM_007965, intron 1 of 12)	-9632	NR_045753	100504467	Mm.394980	NR_045751		Gm16596	-	predicted gene, 16596	ncRNA
61	chr1	90222001	90222500	+	0	NA	Intergenic	Intergenic	18270	NM_007722	12778	Mm.6522	NM_007722	ENSMUSG00000044337	Ackr3	AW541270|CXC-R7|CXCR-7|Cmkor1|Cxcr7|RDC-1|Rdc1	atypical chemokine receptor 3	protein-coding
529	chr8	15028001	15028500	+	0	NA	exon (NM_029116, exon 2 of 2)	exon (NM_029116, exon 2 of 2)	17225	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding
820	chr15	98894501	98895000	+	0	NA	intron (NM_007857, intron 2 of 2)	intron (NM_007857, intron 2 of 2)	3790	NM_007857	13363	Mm.324688	NM_007857	ENSMUSG00000023000	Dhh	C78960	desert hedgehog	protein-coding
79	chr2	71192001	71192500	+	0	NA	Intergenic	Intergenic	-19456	NM_001198872	13427	Mm.249479	NM_010064	ENSMUSG00000027012	Dync1i2	3110079H08Rik|AW554389|Dncic2	dynein cytoplasmic 1 intermediate chain 2	protein-coding
288	chr5	120210501	120211000	+	0	NA	Intergenic	Intergenic	-71487	NR_045793	100503427	Mm.446834	NR_045793	ENSMUSG00000097368	Gm10390	-	predicted gene 10390	ncRNA
778	chr14	104474001	104474500	+	0	NA	Intergenic	Intergenic	-6251	NM_011143	18996	Mm.246550	NM_011143	ENSMUSG00000048349	Pou4f1	Brn-3|Brn-3.0|Brn3|Brn3.0|Brn3a|E130119J07Rik	POU domain, class 4, transcription factor 1	protein-coding
925	chr19	44514501	44515000	+	0	NA	TTS (NM_011720)	TTS (NM_011720)	21278	NM_011720	22423	Mm.88365	NM_011720	ENSMUSG00000036961	Wnt8b	-	wingless-type MMTV integration site family, member 8B	protein-coding
216	chr4	152108001	152108500	+	0	NA	exon (NM_001285999, exon 14 of 21)	exon (NM_001285999, exon 14 of 21)	-7684	NM_001291010	85030	Mm.101198	NM_033042	ENSMUSG00000024793	Tnfrsf25	APO-3|DDR3|DR3|LARD|TR3|TRAMP|Tnfrsf12|WSL-1|WSL-LR|Wsl	tumor necrosis factor receptor superfamily, member 25	protein-coding
194	chr4	117367501	117368000	+	0	NA	intron (NM_025739, intron 2 of 14)	intron (NM_025739, intron 2 of 14)	7711	NM_001310729	66743	Mm.318331	NM_025739	ENSMUSG00000028677	Rnf220	4732477A13|4931406I20Rik|5730503K05Rik|AV302541	ring finger protein 220	protein-coding
421	chr7	34675001	34675500	+	0	NA	exon (NM_175140, exon 4 of 4)	exon (NM_175140, exon 4 of 4)	-19741	NM_001360818	233107	Mm.76761	NM_146188	ENSMUSG00000030499	Kctd15	BC031749	potassium channel tetramerisation domain containing 15	protein-coding
99	chr2	25425001	25425500	+	0	NA	exon (NM_001177367, exon 3 of 3)	exon (NM_001177367, exon 3 of 3)	1556	NM_001177367	14347	Mm.1203	NM_013524	ENSMUSG00000036587	Fut7	AI853193|FTVII|Fuc-TVII|FucT-VII	fucosyltransferase 7	protein-coding
604	chr10	127526001	127526500	+	0	NA	exon (NM_183297, exon 2 of 2)	exon (NM_183297, exon 2 of 2)	-3806	NM_028230	108037	Mm.29890	NM_028230	ENSMUSG00000025403	Shmt2	2700043D08Rik|AA408223|AA986903|SHMT	serine hydroxymethyltransferase 2 (mitochondrial)	protein-coding
894	chr17	34632001	34632500	+	0	NA	exon (NM_030890, exon 4 of 4)	exon (NM_030890, exon 4 of 4)	2686	NM_030890	260297	Mm.390965	NM_030890	ENSMUSG00000015476	Prrt1	Bat-4|Bat4|D17H6S54E|DSPD1|G5b|NG5|ORF31|SynDIG4	proline-rich transmembrane protein 1	protein-coding
921	chr18	26262001	26262500	+	0	NA	Intergenic	Intergenic	-508093	NM_001362319	108013	Mm.266435	NM_133195	ENSMUSG00000024268	Celf4	A230070D14Rik|BRUNOL-4|Brul4|Brunol4|C130060B05Rik	CUGBP, Elav-like family member 4	protein-coding
49	chr1	41891501	41892000	+	0	NA	Intergenic	Intergenic	-710498	NR_040475	74897	Mm.243822	NR_040475	ENSMUSG00000104072	4930448I06Rik	-	RIKEN cDNA 4930448I06 gene	ncRNA
359	chr6	52005501	52006000	+	0	NA	intron (NM_018773, intron 1 of 12)	intron (NM_018773, intron 1 of 12)	6799	NM_018773	54353	Mm.221479	NM_018773	ENSMUSG00000059182	Skap2	2610021A10Rik|AA960083|BB137539|RA70|SKAP-HOM|Saps|Scap2|mSKAP55R	src family associated phosphoprotein 2	protein-coding
425	chr7	27364001	27364500	+	0	NA	exon (NM_001199234, exon 14 of 19)	exon (NM_001199234, exon 14 of 19)	-8242	NM_138676	192192	Mm.21297	NM_138676	ENSMUSG00000089832	Shkbp1	B930062H15Rik|Sb1	Sh3kbp1 binding protein 1	protein-coding
722	chr12	106840501	106841000	+	0	NA	Intergenic	L1MC4|LINE|L1	-124426	NR_015512	71033	Mm.159404	NR_015512	ENSMUSG00000085820	4933406K04Rik	4930426M03Rik|4930485I22Rik|4933427G14Rik	RIKEN cDNA 4933406K04 gene	ncRNA
517	chr8	108939001	108939500	+	0	NA	intron (NM_007496, intron 7 of 9)	(CAGG)n|Simple_repeat|Simple_repeat	2390	NR_037295	100526511		NR_037295	ENSMUSG00000093241	Mir3108	mir-3108|mmu-mir-3108	microRNA 3108	ncRNA
643	chr11	109288501	109289000	+	0	NA	intron (NM_011268, intron 1 of 18)	(CACG)n|Simple_repeat|Simple_repeat	9431	NM_001165934	19739	Mm.38548	NM_011268	ENSMUSG00000020599	Rgs9	RGS9-1|Rgs9-2	regulator of G-protein signaling 9	protein-coding
721	chr12	106082501	106083000	+	0	NA	Intergenic	Intergenic	46210	NM_001364368	22367	Mm.2981	NM_011705	ENSMUSG00000021115	Vrk1	51PK	vaccinia related kinase 1	protein-coding
137	chr2	105333501	105334000	+	0	NA	intron (NM_028747, intron 3 of 3)	intron (NM_028747, intron 3 of 3)	65569	NM_009037	19672	Mm.4876	NM_009037	ENSMUSG00000005973	Rcn1	Rcn	reticulocalbin 1	protein-coding
120	chr2	173507001	173507500	+	0	NA	Intergenic	B4A|SINE|B4	-15342	NM_028158	72221	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding
922	chr18	25622001	25622500	+	0	NA	intron (NM_001362325, intron 2 of 12)	intron (NM_001362325, intron 2 of 12)	57498	NM_001362337	108013	Mm.266435	NM_133195	ENSMUSG00000024268	Celf4	A230070D14Rik|BRUNOL-4|Brul4|Brunol4|C130060B05Rik	CUGBP, Elav-like family member 4	protein-coding
478	chr8	89045501	89046000	+	0	NA	Intergenic	Intergenic	-1588	NM_021390	58198	Mm.214361	NM_021390	ENSMUSG00000031665	Sall1	Msal-3	spalt like transcription factor 1	protein-coding
518	chr8	25515001	25515500	+	0	NA	Intergenic	Intergenic	-3509	NM_001079908	14182	Mm.265716	NM_010206	ENSMUSG00000031565	Fgfr1	AW208770|Eask|FGFR-I|FLG|Fgfr-1|Flt-2|Fr1|Hspy|MFR|bFGF-R-1|c-fgr	fibroblast growth factor receptor 1	protein-coding
763	chr14	65759501	65760000	+	0	NA	exon (NM_028903, exon 8 of 9)	exon (NM_028903, exon 8 of 9)	-46161	NM_023209	52033	Mm.24337	NM_023209	ENSMUSG00000022033	Pbk	2810434B10Rik|AW538537|D14Ertd732e|TOPK	PDZ binding kinase	protein-coding
586	chr10	99102001	99102500	+	0	NA	Intergenic	IAPEz-int|LTR|ERVK	-4832	NM_027740	382406	Mm.440656	NM_027740	ENSMUSG00000019952	Poc1b	4933430F16Rik|Wdr51b	POC1 centriolar protein B	protein-coding
383	chr7	88130001	88130500	+	0	NA	exon (NM_001143834, exon 11 of 11)	exon (NM_001143834, exon 11 of 11)	-147835	NM_001311790	13032	Mm.89295	NM_009982	ENSMUSG00000030560	Ctsc	AI047818|CatC|DPP1|DPPI	cathepsin C	protein-coding
138	chr2	105672501	105673000	+	0	NA	intron (NM_001244201, intron 1 of 11)	CpG	-2420	NR_002867	402728	Mm.444553	NR_002867	ENSMUSG00000086029	Pax6os1	4831410G09Rik|Pax6os	paired box 6 opposite strand 1	ncRNA
4	chr1	132559001	132559500	+	0	NA	Intergenic	Intergenic	-16310	NM_177129	21367	Mm.260861	NM_011531	ENSMUSG00000053024	Cntn2	D130012K04Rik|TAG-1|TAG1|Tax	contactin 2	protein-coding
626	chr11	84707501	84708000	+	0	NA	Intergenic	Intergenic	12682	NR_046197	78471	Mm.47152	NR_046197	ENSMUSG00000085044	1700109G15Rik	-	RIKEN cDNA 1700109G15 gene	ncRNA
314	chr5	30622501	30623000	+	0	NA	exon (NM_010608, exon 2 of 2)	exon (NM_010608, exon 2 of 2)	-25186	NR_049199	100885838		NR_049199	ENSMUSG00000093710	Mir5625	Gm23930|mmu-mir-5625	microRNA 5625	ncRNA
477	chr8	89045001	89045500	+	0	NA	Intergenic	CpG	-1088	NM_021390	58198	Mm.214361	NM_021390	ENSMUSG00000031665	Sall1	Msal-3	spalt like transcription factor 1	protein-coding
295	chr5	114146501	114147000	+	0	NA	Intergenic	Intergenic	15594	NM_011677	22256	Mm.1393	NM_011677	ENSMUSG00000029591	Ung	UNG1|UNG2	uracil DNA glycosylase	protein-coding
963	chrX	142305501	142306000	+	0	NA	exon (NM_021487, exon 1 of 1)	exon (NM_021487, exon 1 of 1)	448	NM_021487	66240	Mm.58507	NM_021487	ENSMUSG00000090122	Kcne1l	1500015C14Rik|Kcne5|Mink	potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene	protein-coding
30	chr1	187604501	187605000	+	0	NA	Intergenic	Intergenic	-4256	NM_001243792	26381	Mm.89989	NM_011935	ENSMUSG00000026610	Esrrg	ERR3|Errg|NR3B3|mKIAA0832	estrogen-related receptor gamma	protein-coding
169	chr3	95173001	95173500	+	0	NA	exon (NM_001272024, exon 21 of 21)	exon (NM_001272024, exon 21 of 21)	8911	NM_011351	20360	Mm.23662	NM_011351	ENSMUSG00000038777	Sema6c	Semay|mKIAA1869	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	protein-coding
22	chr1	190172001	190172500	+	0	NA	intron (NR_151620, intron 1 of 1)	(GA)n|Simple_repeat|Simple_repeat	-1423	NM_008937	19130	Mm.132579	NM_008937	ENSMUSG00000010175	Prox1	A230003G05Rik|PROX-1	prospero homeobox 1	protein-coding
869	chr17	49885001	49885500	+	0	NA	intron (NM_177052, intron 16 of 22)	MER5A|DNA|hAT-Charlie	270078	NM_177052	319991	Mm.441340	NM_177052	ENSMUSG00000023999	Kif6	D130004B10Rik|D130084M03Rik	kinesin family member 6	protein-coding
287	chr5	120211001	120211500	+	0	NA	Intergenic	Intergenic	-71987	NR_045793	100503427	Mm.446834	NR_045793	ENSMUSG00000097368	Gm10390	-	predicted gene 10390	ncRNA
777	chr14	103332501	103333000	+	0	NA	intron (NM_207215, intron 1 of 84)	(TG)n|Simple_repeat|Simple_repeat	14050	NM_207215	105689	Mm.6478	NM_207215	ENSMUSG00000033004	Mycbp2	AU023734|AW107953|AW546647|C130061D10Rik|Pam|Phr1|R75243	MYC binding protein 2, E3 ubiquitin protein ligase	protein-coding
653	chr11	97500501	97501000	+	0	NA	promoter-TSS (NM_001289118)	promoter-TSS (NM_001289118)	-410	NM_001289118	100141474	Mm.482426	NM_001289118	ENSMUSG00000047988	4933428G20Rik	-	RIKEN cDNA 4933428G20 gene	protein-coding
291	chr5	119417501	119418000	+	0	NA	Intergenic	BGLII_Mur|LTR|ERVK	162608	NR_045702	100993	Mm.381453	NR_045702	ENSMUSG00000087516	AW549542	-	expressed sequence AW549542	ncRNA
560	chr9	114584501	114585000	+	0	NA	Intergenic	Intergenic	-20381	NM_001042503	636931	Mm.17857	NM_001042503	ENSMUSG00000079259	Trim71	2610206G21Rik|AL022943|Gm1127|Lin41|lin-41|mLin41|mlin-41	tripartite motif-containing 71	protein-coding
7	chr1	137966501	137967000	+	0	NA	TTS (NR_029820)	TTS (NR_029820)	111	NR_029820	723890		NR_029820	ENSMUSG00000065458	Mir181b-1	Mirn181b-1|mir-181b-1	microRNA 181b-1	ncRNA
463	chr8	87745501	87746000	+	0	NA	intron (NM_001310520, intron 3 of 5)	intron (NM_001310520, intron 3 of 5)	58689	NM_001310520	94187	Mm.23452	NM_033327	ENSMUSG00000045333	Zfp423	Ebfaz|Roaz|Zfp104|Znf423|ataxia1|mKIAA0760|nur12	zinc finger protein 423	protein-coding
838	chr15	31297501	31298000	+	0	NA	exon (NM_001164441, exon 4 of 4)	exon (NM_001164441, exon 4 of 4)	70009	NM_026153	67434	Mm.102470	NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding
9	chr1	119051501	119052000	+	0	NA	intron (NM_001081125, intron 1 of 13)	intron (NM_001081125, intron 1 of 13)	1869	NM_001081125	14633	Mm.273292	NM_001081125	ENSMUSG00000048402	Gli2	-	GLI-Kruppel family member GLI2	protein-coding
349	chr6	121176001	121176500	+	0	NA	Intergenic	Intergenic	-7417	NR_130903	74043	Mm.491240	NM_028730	ENSMUSG00000067825	Pex26	4632428M11Rik	peroxisomal biogenesis factor 26	protein-coding
292	chr5	123302001	123302500	+	0	NA	intron (NM_001370840, intron 16 of 20)	intron (NM_001370840, intron 16 of 20)	-42198	NM_029850	77045	Mm.151960	NM_029850	ENSMUSG00000029438	Bcl7a	4432415N06Rik|AI448316	B cell CLL/lymphoma 7A	protein-coding
57	chr1	74807501	74808000	+	0	NA	Intergenic	Intergenic	15731	NM_009518	22409	Mm.5130	NM_009518	ENSMUSG00000026167	Wnt10a	-	wingless-type MMTV integration site family, member 10A	protein-coding
926	chr19	45741501	45742000	+	0	NA	intron (NM_001166362, intron 2 of 4)	intron (NM_001166362, intron 2 of 4)	1134	NM_001166361	14179	Mm.4012	NM_010205	ENSMUSG00000025219	Fgf8	Aigf|Fgf-8	fibroblast growth factor 8	protein-coding
215	chr4	140002501	140003000	+	0	NA	Intergenic	Intergenic	-34724	NM_173427	242721	Mm.60400	NM_173427	ENSMUSG00000078234	Klhdc7a	B230308G19Rik	kelch domain containing 7A	protein-coding
550	chr9	63523501	63524000	+	0	NA	intron (NM_030068, intron 11 of 21)	intron (NM_030068, intron 11 of 21)	78743	NM_001311098	78250	Mm.444612	NM_030068	ENSMUSG00000037801	Iqch	4921504K03Rik	IQ motif containing H	protein-coding
394	chr7	143154501	143155000	+	0	NA	intron (NM_008434, intron 2 of 15)	intron (NM_008434, intron 2 of 15)	47496	NM_008434	16535	Mm.439769	NM_008434	ENSMUSG00000009545	Kcnq1	AW559127|KVLQT1|Kcna9	potassium voltage-gated channel, subfamily Q, member 1	protein-coding
233	chr4	124990001	124990500	+	0	NA	intron (NM_138683, intron 1 of 5)	CpG	3820	NM_138683	192199	Mm.42202	NM_138683	ENSMUSG00000028871	Rspo1	R-spondin|Rspondin	R-spondin 1	protein-coding
663	chr11	22003501	22004000	+	0	NA	Intergenic	Intergenic	-2099	NM_011023	18423	Mm.129663	NM_011023	ENSMUSG00000005917	Otx1	A730044F23Rik|jv	orthodenticle homeobox 1	protein-coding
859	chr16	33764501	33765000	+	0	NA	intron (NM_175256, intron 14 of 14)	intron (NM_175256, intron 14 of 14)	-29287	NM_010739	17063	Mm.3177	NM_010739	ENSMUSG00000022824	Muc13	114/A10|14/A10|AI159736|Lrrp|Ly64|NJ-1	mucin 13, epithelial transmembrane	protein-coding
453	chr7	36694001	36694500	+	0	NA	Intergenic	Intergenic	-3868	NM_172298	243931	Mm.44141	NM_172298	ENSMUSG00000021217	Tshz3	A630038G13Rik|Tsh3|Zfp537|mKIAA1474|teashirt3	teashirt zinc finger family member 3	protein-coding
726	chr12	112874001	112874500	+	0	NA	Intergenic	Intergenic	-13334	NM_019925	56696	Mm.20455	NM_019925	ENSMUSG00000021298	Gpr132	G2a	G protein-coupled receptor 132	protein-coding
598	chr10	90970001	90970500	+	0	NA	3' UTR (NM_001128086, exon 25 of 25)	3' UTR (NM_001128086, exon 25 of 25)	112493	NM_001282947	11783	Mm.220289	NM_009684	ENSMUSG00000019979	Apaf1	6230400I06Rik|Apaf-1|Apaf1l|fog|mKIAA0413	apoptotic peptidase activating factor 1	protein-coding
159	chr3	102012001	102012500	+	0	NA	intron (NM_178777, intron 2 of 2)	CpG	2105	NM_178777	18072	Mm.137286	NM_178777	ENSMUSG00000048540	Nhlh2	6230401I09Rik|Hen2|NSCL2|Nscl-2|bHLHa34	nescient helix loop helix 2	protein-coding
953	chr19	24362001	24362500	+	0	NA	intron (NM_008846, intron 7 of 14)	intron (NM_008846, intron 7 of 14)	-81660	NR_157400	14297	Mm.7319	NM_008044	ENSMUSG00000059363	Fxn	FA|FARR|Frda|X25	frataxin	protein-coding
212	chr4	139642001	139642500	+	0	NA	exon (NM_175438, exon 10 of 15)	exon (NM_175438, exon 10 of 15)	-1792	NR_105987	102465617		NR_105987	ENSMUSG00000098569	Mir7020	Gm27759|mmu-mir-7020	microRNA 7020	ncRNA
6	chr1	135594501	135595000	+	0	NA	Intergenic	Intergenic	-3026	NR_151586	215714	Mm.472859	NM_175447		Gm4793	EG215714	predicted gene 4793	ncRNA
426	chr7	27364501	27365000	+	0	NA	intron (NM_032610, intron 30 of 35)	intron (NM_032610, intron 30 of 35)	-8742	NM_138676	192192	Mm.21297	NM_138676	ENSMUSG00000089832	Shkbp1	B930062H15Rik|Sb1	Sh3kbp1 binding protein 1	protein-coding
337	chr6	89007001	89007500	+	0	NA	Intergenic	Intergenic	-88860	NR_134978	232217	Mm.281744	NM_175017	ENSMUSG00000055403	4933427D06Rik	-	RIKEN cDNA 4933427D06 gene	ncRNA
200	chr4	82644501	82645000	+	0	NA	Intergenic	Intergenic	136761	NR_137202	102635783	Mm.41666	NR_137202		Gm11266	-	predicted gene 11266	ncRNA
753	chr13	31810501	31811000	+	0	NA	TTS (NM_008592)	TTS (NM_008592)	4104	NM_008592	17300	Mm.12949	NM_008592	ENSMUSG00000050295	Foxc1	FREAC3|Fkh1|Mf1|Mf4|ch|fkh-1|frkhda	forkhead box C1	protein-coding
677	chr11	3177001	3177500	+	0	NA	intron (NM_001363224, intron 8 of 28)	intron (NM_001363224, intron 8 of 28)	16353	NM_030207	78887	Mm.394071	NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
211	chr4	139767001	139767500	+	0	NA	intron (NM_011039, intron 7 of 8)	intron (NM_011039, intron 7 of 8)	65718	NM_011039	18509	Mm.218760	NM_011039	ENSMUSG00000028736	Pax7	Pax-7	paired box 7	protein-coding
320	chr5	65100001	65100500	+	0	NA	Intergenic	MIR|SINE|MIR	-7318	NM_001347355	71778	Mm.10281	NM_175174	ENSMUSG00000054920	Klhl5	1300013C10Rik	kelch-like 5	protein-coding
37	chr1	167374501	167375000	+	0	NA	intron (NM_025569, intron 4 of 5)	intron (NM_025569, intron 4 of 5)	19091	NM_025569	66447	Mm.218286	NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|AA516734|GST-III	microsomal glutathione S-transferase 3	protein-coding
817	chr15	98774001	98774500	+	0	NA	exon (NM_011718, exon 4 of 5)	exon (NM_011718, exon 4 of 5)	3900	NM_011718	22410	Mm.4709	NM_011718	ENSMUSG00000022996	Wnt10b	Wnt12	wingless-type MMTV integration site family, member 10B	protein-coding
26	chr1	185458501	185459000	+	0	NA	intron (NM_001033286, intron 2 of 3)	PB1D7|SINE|Alu	-3182	NR_040305	100039138	Mm.427989	NR_040305	ENSMUSG00000097615	Gm2061	-	predicted gene 2061	ncRNA
642	chr11	108961501	108962000	+	0	NA	Intergenic	Intergenic	41401	NM_015732	12006	Mm.71710	NM_015732	ENSMUSG00000000142	Axin2	Axi1|Axil|Conductin	axin 2	protein-coding
63	chr1	91606001	91606500	+	0	NA	Intergenic	Intergenic	65170	NM_023046	65247	Mm.234152	NM_023046	ENSMUSG00000026311	Asb1	1700029O08Rik|1700054C17Rik|AI426616|AI851378|mKIAA1146	ankyrin repeat and SOCS box-containing 1	protein-coding
129	chr2	168590001	168590500	+	0	NA	non-coding (NR_111898, exon 1 of 6)	non-coding (NR_111898, exon 1 of 6)	115	NM_001291176	18019	Mm.116802	NM_010899	ENSMUSG00000027544	Nfatc2	AI607462|NF-ATc2|NF-ATp|NFAT1|NFAT1-D|Nfatp	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	protein-coding
