PeakID (cmd=annotatePeaks.pl 500_result/Hypo.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2081	chr10	34302501	34303000	+	0	NA	TTS (NM_001347463)	TTS (NM_001347463)	5329	NM_030203	72480	Mm.21485	NM_030203	ENSMUSG00000039485	Tspyl4	2610102M01Rik|B230210I21Rik|D10Bwg0791e	TSPY-like 4	protein-coding
3104	chr17	65814001	65814500	+	0	NA	intron (NM_146081, intron 8 of 19)	intron (NM_146081, intron 8 of 19)	30895	NR_152099	70351	Mm.48686	NM_146081	ENSMUSG00000061950	Ppp4r1	3110001J10Rik|Pp4r1	protein phosphatase 4, regulatory subunit 1	protein-coding
1961	chr10	8725001	8725500	+	0	NA	3' UTR (NM_175155, exon 20 of 20)	3' UTR (NM_175155, exon 20 of 20)	160820	NM_175155	70097	Mm.338275	NM_175155	ENSMUSG00000015305	Sash1	1100001C18Rik|2500002E12Rik|A330076K04Rik|mKIAA0790	SAM and SH3 domain containing 1	protein-coding
1199	chr6	125168001	125168500	+	0	NA	exon (NM_146171, exon 32 of 32)	exon (NM_146171, exon 32 of 32)	-1783	NM_001289726	14433	Mm.304088	NM_008084	ENSMUSG00000057666	Gapdh	Gapd	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
2484	chr12	112096001	112096500	+	0	NA	Intergenic	Intergenic	-10433	NM_001081169	104816	Mm.77133	NM_001081169	ENSMUSG00000037686	Aspg	A530050D06Rik|AI429460|Gm690	asparaginase	protein-coding
2034	chr10	128436501	128437000	+	0	NA	intron (NR_104288, intron 5 of 6)	intron (NR_104288, intron 5 of 6)	-21930	NR_106183	102465894		NR_106183	ENSMUSG00000098957	Mir8105	Gm27346|mmu-mir-8105	microRNA 8105	ncRNA
3470	chrX	137120001	137120500	+	0	NA	promoter-TSS (NM_007957)	promoter-TSS (NM_007957)	76	NM_007957	13984	Mm.8017	NM_007957	ENSMUSG00000023443	Esx1	Spx1	extraembryonic, spermatogenesis, homeobox 1	protein-coding
2644	chr13	3353001	3353500	+	0	NA	Intergenic	Intergenic	-125053	NR_015522	76937	Mm.487240	NR_015522	ENSMUSG00000097709	2810429I04Rik	AI256682	RIKEN cDNA 2810429I04 gene	ncRNA
1111	chr6	90466001	90466500	+	0	NA	intron (NM_023184, intron 1 of 2)	intron (NM_023184, intron 1 of 2)	3674	NM_023184	66277	Mm.38343	NM_023184	ENSMUSG00000030087	Klf15	1810013I09Rik|AV048136|AW494632|CKLF|KKLF	Kruppel-like factor 15	protein-coding
1986	chr10	83048001	83048500	+	0	NA	intron (NM_021439, intron 1 of 2)	intron (NM_021439, intron 1 of 2)	62753	NM_021439	58250	Mm.360747	NM_021439	ENSMUSG00000034612	Chst11	1110020P09Rik|C4ST|C4ST-1|C4ST1|C4s	carbohydrate sulfotransferase 11	protein-coding
2365	chr11	101194501	101195000	+	0	NA	intron (NM_007970, intron 17 of 20)	intron (NM_007970, intron 17 of 20)	18633	NM_016782	53321	Mm.474527	NM_016782	ENSMUSG00000017167	Cntnap1	AI841080|Caspr|NCP1|Nrxn4|p190|shm	contactin associated protein-like 1	protein-coding
369	chr2	165873501	165874000	+	0	NA	intron (NM_001363018, intron 2 of 23)	intron (NM_001363018, intron 2 of 23)	4687	NM_001363021	228880	Mm.227598	NM_027230	ENSMUSG00000039671	Zmynd8	1110013E22Rik|2010005I16Rik|3632413B07Rik|AI316811|AL024039|Prkcbp1|RACK7	zinc finger, MYND-type containing 8	protein-coding
2675	chr13	55742001	55742500	+	0	NA	intron (NM_028281, intron 2 of 3)	intron (NM_028281, intron 2 of 3)	14882	NM_028281	72562	Mm.28145	NM_028281	ENSMUSG00000021496	Pcbd2	2700061N24Rik|Dcoh2|Dcohm	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2	protein-coding
65	chr1	189880001	189880500	+	0	NA	TTS (NM_026796)	TTS (NM_026796)	42041	NM_026796	226830	Mm.156895	NM_026796	ENSMUSG00000026603	Smyd2	1110020E07Rik|4930402C15|KMT3C|Zmynd14	SET and MYND domain containing 2	protein-coding
2977	chr15	31350001	31350500	+	0	NA	intron (NM_027496, intron 1 of 3)	intron (NM_027496, intron 1 of 3)	17509	NM_001357922	67434	Mm.102470	NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding
2415	chr11	60707001	60707500	+	0	NA	exon (NM_001159405, exon 10 of 22)	exon (NM_001159405, exon 10 of 22)	7560	NM_001159404	16897	Mm.285453	NM_008502	ENSMUSG00000020536	Llgl1	AI325176|Lgl1|Llglh|Mgl1	LLGL1 scribble cell polarity complex component	protein-coding
3292	chr18	75284001	75284500	+	0	NA	intron (NM_027727, intron 16 of 16)	intron (NM_027727, intron 16 of 16)	13067	NR_045394	100503117	Mm.250517	NR_045393	ENSMUSG00000102047	2010010A06Rik	5033420E22Rik	RIKEN cDNA 2010010A06 gene	ncRNA
3011	chr16	91056501	91057000	+	0	NA	intron (NM_001163695, intron 1 of 1)	intron (NM_001163695, intron 1 of 1)	-12371	NR_152264	67367	Mm.347	NM_026110	ENSMUSG00000022974	Paxbp1	1810007M14Rik|C21orf66|Gcfc|Gcfc1|Pax3/7bp	PAX3 and PAX7 binding protein 1	protein-coding
1832	chr9	21970501	21971000	+	0	NA	TTS (NM_023622)	TTS (NM_023622)	-7174	NM_010149	13857	Mm.2653	NM_010149	ENSMUSG00000006235	Epor	-	erythropoietin receptor	protein-coding
2221	chr11	107743501	107744000	+	0	NA	intron (NM_019431, intron 1 of 3)	intron (NM_019431, intron 1 of 3)	-27274	NM_007582	12299	Mm.57093	NM_007582	ENSMUSG00000020722	Cacng1	-	calcium channel, voltage-dependent, gamma subunit 1	protein-coding
1572	chr8	119948501	119949000	+	0	NA	exon (NM_001310630, exon 8 of 14)	exon (NM_001310630, exon 8 of 14)	38390	NM_001310630	22224	Mm.256910	NM_009462	ENSMUSG00000031826	Usp10	2610014N07Rik|UBPO|Uchrp|mKIAA0190	ubiquitin specific peptidase 10	protein-coding
1401	chr7	19137001	19137500	+	0	NA	exon (NM_175530, exon 2 of 2)	exon (NM_175530, exon 2 of 2)	11946	NM_026111	67369	Mm.234876	NM_026111	ENSMUSG00000030407	Qpctl	1810019P04Rik|BB101812|gQC	glutaminyl-peptide cyclotransferase-like	protein-coding
1237	chr6	31803001	31803500	+	0	NA	Intergenic	IAPEz-int|LTR|ERVK	-137119	NR_152155	434003	Mm.332979	NR_152155	ENSMUSG00000084973	Gm13848	-	predicted gene 13848	ncRNA
3099	chr17	70587001	70587500	+	0	NA	intron (NM_001128181, intron 1 of 9)	intron (NM_001128181, intron 1 of 9)	25503	NM_001128181	224997	Mm.311840	NM_027712	ENSMUSG00000003279	Dlgap1	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	DLG associated protein 1	protein-coding
1543	chr8	71405001	71405500	+	0	NA	promoter-TSS (NM_001310502)	promoter-TSS (NM_001310502)	-762	NM_001310502	234396	Mm.216549	NM_172756	ENSMUSG00000046295	Ankle1	8430438L13Rik|Ankrd41|C430003I23|Lem3	ankyrin repeat and LEM domain containing 1	protein-coding
524	chr3	58089501	58090000	+	0	NA	Intergenic	Intergenic	74057	NR_040538	67850	Mm.416968	NR_040538	ENSMUSG00000100666	1700007F19Rik	-	RIKEN cDNA 1700007F19 gene	ncRNA
215	chr2	72230501	72231000	+	0	NA	intron (NM_019688, intron 22 of 29)	intron (NM_019688, intron 22 of 29)	-54887	NM_023057	65964	Mm.304143	NM_023057	ENSMUSG00000004085	Map3k20	AV006891|B230120H23Rik|HCCS-4|MLTK|MLTKalpha|MLTKbeta|Zak	mitogen-activated protein kinase kinase kinase 20	protein-coding
3336	chr19	42058501	42059000	+	0	NA	intron (NM_026152, intron 1 of 6)	intron (NM_026152, intron 1 of 6)	6522	NM_025752	66765	Mm.440412	NM_025752	ENSMUSG00000090369	4933411K16Rik	-	RIKEN cDNA 4933411K16 gene	protein-coding
2734	chr14	120369001	120369500	+	0	NA	intron (NM_001360380, intron 2 of 7)	intron (NM_001360380, intron 2 of 7)	62798	NM_001360376	105559	Mm.238266	NM_175341	ENSMUSG00000022139	Mbnl2	1110002M11Rik|AI047808|AI837313|AI849185|AL118326|MBLL|R75232|mKIAA4072	muscleblind like splicing factor 2	protein-coding
2105	chr10	71281001	71281500	+	0	NA	intron (NM_145420, intron 1 of 6)	intron (NM_145420, intron 1 of 6)	4012	NM_145420	216080	Mm.270530	NM_145420	ENSMUSG00000019927	Ube2d1	UBCH5	ubiquitin-conjugating enzyme E2D 1	protein-coding
2513	chr12	102308501	102309000	+	0	NA	intron (NM_001161365, intron 1 of 9)	intron (NM_001161365, intron 1 of 9)	25109	NM_001161365	217835	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding
1236	chr6	28527501	28528000	+	0	NA	intron (NM_019776, intron 7 of 23)	intron (NM_019776, intron 7 of 23)	47402	NM_019776	56463	Mm.439987	NM_019776	ENSMUSG00000001424	Snd1	AL033314|Tudor-SN	staphylococcal nuclease and tudor domain containing 1	protein-coding
382	chr2	167658501	167659000	+	0	NA	intron (NM_145538, intron 1 of 5)	intron (NM_145538, intron 1 of 5)	2794	NM_145538	407243	Mm.4863	NM_145538	ENSMUSG00000090213	Tmem189	AI840826|Kua	transmembrane protein 189	protein-coding
2130	chr11	76674001	76674500	+	0	NA	TTS (NM_177182)	TTS (NM_177182)	1780	NM_177182	320522	Mm.131585	NM_177182	ENSMUSG00000044243	Bhlha9	A830053O21Rik|Fingerin	basic helix-loop-helix family, member a9	protein-coding
2582	chr13	68174001	68174500	+	0	NA	Intergenic	MuRRS-int|LTR|ERV1	57570	NR_155296	101056219	Mm.394919	NR_155295		Urml	mach-1	up-regulated in Myc liver	ncRNA
827	chr5	113309501	113310000	+	0	NA	intron (NM_172718, intron 2 of 24)	intron (NM_172718, intron 2 of 24)	1036	NM_001162965	52850	Mm.200203	NM_172718	ENSMUSG00000042216	Sgsm1	2410098H20Rik|AA408781|D5Bwg1524e|E130107M15|NuIP|Rutbc2	small G protein signaling modulator 1	protein-coding
3337	chr19	41638501	41639000	+	0	NA	intron (NM_015748, intron 15 of 36)	intron (NM_015748, intron 15 of 36)	50099	NR_106166	102465884		NR_106166	ENSMUSG00000098286	Mir8091	Gm27575|mmu-mir-8091	microRNA 8091	ncRNA
356	chr2	164126501	164127000	+	0	NA	intron (NM_021420, intron 10 of 10)	Charlie1a|DNA|hAT-Charlie	44363	NM_008435	16538	Mm.6217	NM_008435	ENSMUSG00000040164	Kcns1	Kv9.1	K+ voltage-gated channel, subfamily S, 1	protein-coding
1685	chr8	13988501	13989000	+	0	NA	intron (NR_131137, intron 1 of 2)	intron (NR_131137, intron 1 of 2)	2660	NR_131137	546036	Mm.31785	NR_131136	ENSMUSG00000110058	Gm5907	EG546036|Gm45519|Gm845	predicted gene 5907	ncRNA
954	chr5	115127001	115127500	+	0	NA	intron (NM_175352, intron 3 of 4)	CpG-11390	7725	NM_175352	106840	Mm.29241	NM_175352	ENSMUSG00000046562	Unc119b	AA407659|AI414892	unc-119 lipid binding chaperone B	protein-coding
1445	chr7	16853501	16854000	+	0	NA	intron (NM_178900, intron 8 of 17)	intron (NM_178900, intron 8 of 17)	10685	NM_178900	101540	Mm.1881	NM_178900	ENSMUSG00000041187	Prkd2	AI325941|PKD2	protein kinase D2	protein-coding
512	chr3	131808001	131808500	+	0	NA	Intergenic	Intergenic	242218	NM_001289477	23971	Mm.244912	NM_011863	ENSMUSG00000028032	Papss1	AI325286|Asapk|SK1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	protein-coding
1392	chr7	24432001	24432500	+	0	NA	exon (NM_001358034, exon 2 of 2)	exon (NM_001358034, exon 2 of 2)	3282	NM_001358034	210145	Mm.33811	NM_199013	ENSMUSG00000062028	Irgc1	F630044M05Rik|Gm1102|Gm474|Ifgge|Iigp5|Irgc	immunity-related GTPase family, cinema 1	protein-coding
1987	chr10	83021001	83021500	+	0	NA	intron (NM_021439, intron 1 of 2)	intron (NM_021439, intron 1 of 2)	35753	NM_021439	58250	Mm.360747	NM_021439	ENSMUSG00000034612	Chst11	1110020P09Rik|C4ST|C4ST-1|C4ST1|C4s	carbohydrate sulfotransferase 11	protein-coding
1474	chr7	44967001	44967500	+	0	NA	intron (NM_001357670, intron 6 of 18)	intron (NM_001357670, intron 6 of 18)	7601	NM_001357670	78070	Mm.231465	NM_153679	ENSMUSG00000007783	Cpt1c	6530437J22Rik|9630004I06Rik|CPT I-C|CPT IC|CPT1-B|CPTI-B	carnitine palmitoyltransferase 1c	protein-coding
738	chr4	134745501	134746000	+	0	NA	3' UTR (NM_145554, exon 9 of 9)	3' UTR (NM_145554, exon 9 of 9)	22254	NM_145554	100017	Mm.27486	NM_145554	ENSMUSG00000037295	Ldlrap1	AA691260|ARH2|Arh|Arh1|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding
2141	chr11	78268501	78269000	+	0	NA	exon (NM_001002004, exon 14 of 39)	exon (NM_001002004, exon 14 of 39)	6996	NM_001002004	72503	Mm.237103	NM_001002004	ENSMUSG00000010277	2610507B11Rik	AU022687|D11Bhm178e|D11Bhm179e|E1|Kiaa0100|mKIAA0100	RIKEN cDNA 2610507B11 gene	protein-coding
1614	chr8	123491501	123492000	+	0	NA	intron (NR_028260, intron 8 of 15)	B4A|SINE|B4	13888	NR_028260	114896	Mm.287475	NM_054070	ENSMUSG00000031967	Afg3l1	1700047G05Rik|3110061K15Rik	AFG3-like AAA ATPase 1	protein-coding
2976	chr15	31594001	31594500	+	0	NA	intron (NM_001348035, intron 5 of 10)	intron (NM_001348035, intron 5 of 10)	7289	NM_001348035	12465	Mm.282158	NM_007637	ENSMUSG00000022234	Cct5	CCT-epsilon|Ccte|TCP-1-epsilon|TCPE|mKIAA0098	chaperonin containing Tcp1, subunit 5 (epsilon)	protein-coding
1123	chr6	85480501	85481000	+	0	NA	intron (NM_001001160, intron 4 of 13)	intron (NM_001001160, intron 4 of 13)	22244	NM_001001160	330369	Mm.38777	NM_001001160	ENSMUSG00000047013	Fbxo41	9630017H13|D6Ertd538e	F-box protein 41	protein-coding
34	chr1	135478501	135479000	+	0	NA	intron (NM_173437, intron 3 of 28)	intron (NM_173437, intron 3 of 28)	-24067	NR_049188	100885827		NR_049188	ENSMUSG00000093515	Mir1231	Gm23720|mir-1231|mmu-mir-1231	microRNA 1231	ncRNA
3118	chr17	87551001	87551500	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-84729	NM_008532	17075	Mm.4259	NM_008532	ENSMUSG00000045394	Epcam	CD326|EGP|EGP-2|Egp314|Ep-CAM|EpCAM1|GA733-2|Ly74|TROP1|Tacsd1|Tacstd1|gp40	epithelial cell adhesion molecule	protein-coding
2439	chr12	76807501	76808000	+	0	NA	intron (NM_134050, intron 1 of 6)	intron (NM_134050, intron 1 of 6)	6106	NM_001347405	104886	Mm.172847	NM_134050	ENSMUSG00000021062	Rab15	2310012G06Rik|AI840042	RAB15, member RAS oncogene family	protein-coding
2089	chr10	75662501	75663000	+	0	NA	intron (NM_172549, intron 29 of 36)	intron (NM_172549, intron 29 of 36)	-18742	NM_001162913	71733	Mm.247956	NM_027890	ENSMUSG00000006342	Susd2	1200011D11Rik	sushi domain containing 2	protein-coding
924	chr5	120669001	120669500	+	0	NA	intron (NM_001359146, intron 12 of 19)	B1F1|SINE|Alu	15881	NM_001359147	19415	Mm.41209	NM_013832	ENSMUSG00000029602	Rasal1	MRASAL	RAS protein activator like 1 (GAP1 like)	protein-coding
1718	chr8	47027001	47027500	+	0	NA	intron (NM_177304, intron 1 of 7)	intron (NM_177304, intron 1 of 7)	40363	NM_177304	320981	Mm.211429	NM_177304	ENSMUSG00000038173	Enpp6	4833421B01Rik|B830047L21Rik|D8Ertd514e|E-NPP 6|GPC-Cpde|Npp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	protein-coding
40	chr1	118536001	118536500	+	0	NA	intron (NM_001359343, intron 23 of 38)	intron (NM_001359343, intron 23 of 38)	-76985	NR_027901	68204	Mm.443536	NR_027901	ENSMUSG00000107722	2900060B14Rik	-	RIKEN cDNA 2900060B14 gene	ncRNA
1536	chr8	70340501	70341000	+	0	NA	intron (NM_001122829, intron 5 of 23)	intron (NM_001122829, intron 5 of 23)	10985	NM_008107	14559	Mm.258280	NM_008107	ENSMUSG00000087408	Gdf1	AI385651|Gdf-1	growth differentiation factor 1	protein-coding
1018	chr5	124468501	124469000	+	0	NA	intron (NM_030259, intron 2 of 3)	BC1_Mm|scRNA|scRNA	9485	NM_030259	80291	Mm.425280	NM_030259	ENSMUSG00000029401	Rilpl2	-	Rab interacting lysosomal protein-like 2	protein-coding
47	chr1	180336501	180337000	+	0	NA	intron (NM_001081175, intron 2 of 7)	intron (NM_001081175, intron 2 of 7)	-6201	NR_003623	277333	Mm.389223	NM_199472		Gm5069	EG277333	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo
244	chr2	28378501	28379000	+	0	NA	Intergenic	Intergenic	-68096	NM_001005420	241289	Mm.330095	NM_001005420	ENSMUSG00000035829	Ppp1r26	Gm347|Kiaa0649|mKIAA0649	protein phosphatase 1, regulatory subunit 26	protein-coding
1876	chr9	118556501	118557000	+	0	NA	exon (NM_018748, exon 15 of 24)	exon (NM_018748, exon 15 of 24)	-49959	NM_133721	104099	Mm.335520	NM_133721	ENSMUSG00000039115	Itga9	(alpha)9|2610002H11Rik|6720458D17Rik|AI461869|D130073C02|D9Ertd428e	integrin alpha 9	protein-coding
3494	chrX	8892501	8893000	+	0	NA	non-coding (NR_045448, exon 1 of 1)	non-coding (NR_045448, exon 1 of 1)	397	NR_045448	102941	Mm.41588	NM_175327	ENSMUSG00000052364	B630019K06Rik	AI843180	F-box and leucine-rich repeat protein 17 pseudogene	pseudo
3023	chr16	92454501	92455000	+	0	NA	intron (NM_001081549, intron 1 of 3)	intron (NM_001081549, intron 1 of 3)	11419	NM_001081549	54720	Mm.265744	NM_019466	ENSMUSG00000022951	Rcan1	Adapt78|CALP1L|CSP1|DSC1|Dscr1|MCIP1|RCN1	regulator of calcineurin 1	protein-coding
3408	chr19	5839501	5840000	+	0	NA	non-coding (NR_131212, exon 1 of 1)	non-coding (NR_131212, exon 1 of 1)	5728	NR_131212	66961	Mm.281895	NR_003513	ENSMUSG00000092274	Neat1	2310043N10Rik|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
3343	chr19	42770501	42771000	+	0	NA	intron (NM_019424, intron 5 of 19)	intron (NM_019424, intron 5 of 19)	7896	NM_001362410	192236	Mm.218381	NM_019424	ENSMUSG00000025188	Hps1	6030422N11Rik|BB405864|Gm21361|Hps|ep	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	protein-coding
268	chr2	32079501	32080000	+	0	NA	intron (NM_175511, intron 1 of 1)	intron (NM_175511, intron 1 of 1)	3955	NM_175511	241303	Mm.250441	NM_175511	ENSMUSG00000050592	Fam78a	A130092J06Rik	family with sequence similarity 78, member A	protein-coding
2213	chr11	113180001	113180500	+	0	NA	intron (NR_015556, intron 1 of 2)	MTEa|LTR|ERVL-MaLR	21588	NR_015556	72386	Mm.266961	NR_015556	ENSMUSG00000087259	2610035D17Rik	-	RIKEN cDNA 2610035D17 gene	ncRNA
2789	chr14	33970001	33970500	+	0	NA	exon (NM_001013777, exon 2 of 2)	exon (NM_001013777, exon 2 of 2)	8514	NM_001013777	382867	Mm.343728	NM_001013777	ENSMUSG00000044519	Zfp488	Gm1206|Znf488	zinc finger protein 488	protein-coding
857	chr5	139389501	139390000	+	0	NA	promoter-TSS (NM_001038703)	promoter-TSS (NM_001038703)	-154	NM_001038703	80290	Mm.270003	NM_030258	ENSMUSG00000044197	Gpr146	BC003323|D830046C22Rik|PGR8	G protein-coupled receptor 146	protein-coding
2887	chr15	82378501	82379000	+	0	NA	intron (NM_019823, intron 1 of 9)	intron (NM_019823, intron 1 of 9)	1510	NM_001163472	56448	Mm.474216	NM_019823	ENSMUSG00000061740	Cyp2d22	2D22	cytochrome P450, family 2, subfamily d, polypeptide 22	protein-coding
883	chr5	148388501	148389000	+	0	NA	intron (NM_007513, intron 1 of 12)	intron (NM_007513, intron 1 of 12)	4065	NM_001301424	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding
326	chr2	156503501	156504000	+	0	NA	exon (NM_001291121, exon 8 of 22)	exon (NM_001291121, exon 8 of 22)	28201	NM_001368804	13821	Mm.20852	NM_013510	ENSMUSG00000027624	Epb41l1	4.1N|Epb4.1l1|NBL1|mKIAA0338	erythrocyte membrane protein band 4.1 like 1	protein-coding
3372	chr19	47338501	47339000	+	0	NA	intron (NM_001164717, intron 6 of 13)	intron (NM_001164717, intron 6 of 13)	-65161	NR_105961	102466782		NR_105961	ENSMUSG00000098786	Mir6995	Gm27576|mmu-mir-6995	microRNA 6995	ncRNA
2282	chr11	115393501	115394000	+	0	NA	exon (NM_001080929, exon 5 of 5)	exon (NM_001080929, exon 5 of 5)	-10002	NM_001361462	68572	Mm.271062	NM_026729	ENSMUSG00000018858	Mrpl58	1110001A02Rik|1110002E03Rik|Ict1|MRP-L58	mitochondrial ribosomal protein L58	protein-coding
440	chr2	133233501	133234000	+	0	NA	Intergenic	(CAG)n|Simple_repeat|Simple_repeat	-287714	NM_198029	241639	Mm.209784	NM_198029	ENSMUSG00000027356	Fermt1	5830467P10Rik|Kindlin-1	fermitin family member 1	protein-coding
1537	chr8	70406001	70406500	+	0	NA	intron (NM_001004062, intron 2 of 13)	intron (NM_001004062, intron 2 of 13)	32702	NM_016685	12845	Mm.45071	NM_016685	ENSMUSG00000031849	Comp	TSP5	cartilage oligomeric matrix protein	protein-coding
1779	chr9	44351001	44351500	+	0	NA	intron (NM_001357393, intron 14 of 15)	PB1D7|SINE|Alu	-7022	NM_013551	15288	Mm.247676	NM_013551	ENSMUSG00000032126	Hmbs	PBGD|T25658|Ups|Uros1	hydroxymethylbilane synthase	protein-coding
136	chr1	19460001	19460500	+	0	NA	Intergenic	Intergenic	248196	NM_001025305	21419	Mm.137021	NM_009334	ENSMUSG00000025927	Tfap2b	AI606113|AP-2(beta)|E130018K07Rik|Tcfap2b	transcription factor AP-2 beta	protein-coding
1877	chr9	118553501	118554000	+	0	NA	intron (NM_018748, intron 14 of 23)	intron (NM_018748, intron 14 of 23)	47432	NM_018748	54214	Mm.10409	NM_018748	ENSMUSG00000038708	Golga4	AI225887|AU019508|Olp-1	golgi autoantigen, golgin subfamily a, 4	protein-coding
646	chr4	155772501	155773000	+	0	NA	exon (NM_147776, exon 2 of 4)	exon (NM_147776, exon 2 of 4)	1811	NM_147776	246228	Mm.26515	NM_147776	ENSMUSG00000042116	Vwa1	4932416A11Rik|WARP	von Willebrand factor A domain containing 1	protein-coding
2521	chr12	103424001	103424500	+	0	NA	exon (NM_020494, exon 2 of 9)	exon (NM_020494, exon 2 of 9)	1597	NM_001364162	27225	Mm.3935	NM_020494	ENSMUSG00000041645	Ddx24	1700055J08Rik|2510027P10Rik|AI649272	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	protein-coding
1272	chr7	96494001	96494500	+	0	NA	intron (NM_001310760, intron 3 of 32)	intron (NM_001310760, intron 3 of 32)	-152286	NR_046043	670727	Mm.421352	NR_046043	ENSMUSG00000085751	Gm15412	-	predicted gene 15412	ncRNA
2328	chr11	94498001	94498500	+	0	NA	intron (NM_027984, intron 1 of 9)	intron (NM_027984, intron 1 of 9)	1724	NM_001361558	71889	Mm.248620	NM_027984	ENSMUSG00000010080	Epn3	2310022G12Rik	epsin 3	protein-coding
141	chr1	75384501	75385000	+	0	NA	promoter-TSS (NM_001085370)	promoter-TSS (NM_001085370)	-860	NM_001085370	11790	Mm.275397	NM_007463	ENSMUSG00000026207	Speg	AW125581|Apeg1|BPEG|D1Bwg1450e|SPEGalpha|SPEGbeta|mKIAA1297	SPEG complex locus	protein-coding
3179	chr17	46051501	46052000	+	0	NA	Intergenic	Intergenic	-19373	NM_001317041	22339	Mm.282184	NM_009505	ENSMUSG00000023951	Vegfa	Vegf|Vpf	vascular endothelial growth factor A	protein-coding
2048	chr10	127590501	127591000	+	0	NA	intron (NM_008512, intron 11 of 88)	intron (NM_008512, intron 11 of 88)	30398	NM_008512	16971	Mm.271854	NM_008512	ENSMUSG00000040249	Lrp1	A2mr|AI316852|CD91|Lrp|b2b1554Clo	low density lipoprotein receptor-related protein 1	protein-coding
3055	chr16	23232501	23233000	+	0	NA	intron (NM_001252505, intron 1 of 7)	intron (NM_001252505, intron 1 of 7)	6729	NM_001252505	20440	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding
2886	chr15	82378001	82378500	+	0	NA	intron (NM_019823, intron 1 of 9)	intron (NM_019823, intron 1 of 9)	2010	NM_001163472	56448	Mm.474216	NM_019823	ENSMUSG00000061740	Cyp2d22	2D22	cytochrome P450, family 2, subfamily d, polypeptide 22	protein-coding
912	chr5	143474501	143475000	+	0	NA	exon (NM_144915, exon 4 of 15)	exon (NM_144915, exon 4 of 15)	10257	NM_144915	231871	Mm.469963	NM_144915	ENSMUSG00000039206	Daglb	E330036I19Rik	diacylglycerol lipase, beta	protein-coding
631	chr4	152366001	152366500	+	0	NA	exon (NM_001081376, exon 12 of 42)	exon (NM_001081376, exon 12 of 42)	27596	NM_001369243	269610	Mm.40192	NM_029216	ENSMUSG00000005045	Chd5	4930532L22Rik|AW060752|B230399N07Rik|CHD-5	chromodomain helicase DNA binding protein 5	protein-coding
1490	chr7	47091001	47091500	+	0	NA	intron (NM_001163565, intron 3 of 13)	intron (NM_001163565, intron 3 of 13)	-8026	NR_106023	102465639		NR_106023	ENSMUSG00000098960	Mir7056	Gm27696|mmu-mir-7056	microRNA 7056	ncRNA
2638	chr13	6573001	6573500	+	0	NA	intron (NM_001360106, intron 21 of 26)	MIRc|SINE|MIR	25093	NM_001360106	69617	Mm.41933	NM_145131	ENSMUSG00000021193	Pitrm1	2310012C15Rik|AA410010|MP-1|MP1|Ntup1|PreP|mKIAA1104	pitrilysin metallepetidase 1	protein-coding
1243	chr6	31126501	31127000	+	0	NA	intron (NR_110471, intron 3 of 3)	intron (NR_110471, intron 3 of 3)	-63657	NR_029532	387223		NR_029532	ENSMUSG00000065604	Mir29b-1	Mirn29b|Mirn29b-1|mir-29b-1	microRNA 29b-1	ncRNA
300	chr2	152322001	152322500	+	0	NA	exon (NM_019705, exon 9 of 13)	exon (NM_019705, exon 9 of 13)	10175	NM_001355282	24105	Mm.182145	NM_019705	ENSMUSG00000027466	Rbck1	AL033326|HOIL-1|HOIL-1L|UIP28|Ubce7ip3	RanBP-type and C3HC4-type zinc finger containing 1	protein-coding
167	chr1	91445001	91445500	+	0	NA	intron (NM_011066, intron 5 of 22)	intron (NM_011066, intron 5 of 22)	14078	NM_011066	18627	Mm.482463	NM_011066	ENSMUSG00000055866	Per2	mKIAA0347|mPer2	period circadian clock 2	protein-coding
